"question","truth","falsehood","split"
"When do end portions of two nonsister chromatids trade places?","at every crossover","never","train"
"What weather events move with the prevailing winds and originate in the trade winds in the northern hemisphere?","hurricanes","tsunamis","train"
"How do leaves export sugar to roots and other nonphotosynthetic parts of the plant?","veins","stems","train"
"What is the process called when secretory cells export products?","exocytosis","endocytosis","train"
"The trade winds are nearest what?","equator","boundary plates","train"
"Which type of arthritis causes the immune system to attack joints?","rheumatoid","Osteoarthritis","train"
"What is often a result of untreated atherosclerosis?","a heart attack or stroke","cancer","train"
"Which organ of the body do large tapeworms attack or block?","intestines","liver","train"
"In police radar, a radar gun sends out short bursts of which waves?","microwaves","photons","train"
"The phagocytes that are part of the body’s second line of defense attack any of what that they encounter?","pathogens","viruses","train"
"This bodily defense function attacks pathogens and includes inflammatory response and phagocytosis?","second line of defense","first line of defense","train"
"What bodily defense can be acquired in an active or passive way, and can be natural or artificial?","immunity","skin","train"
"After an adaptive defense is produced against a pathogen, typically plasma cells first secrete immunoglobin, which constitutes about ten percent of all what?","antibodies","parasites","train"
"The third line of defense of the immune system is called?","the immune response","the sudden response","train"
"What provides an early, rapid, and nonspecific defense against invading pathogens?","neutrophils","microorganisms","train"
"The body's second line of defense against pathogens includes which response?","inflammatory","reaction","train"
"Composed largely of the polysaccharide chitin, the exoskeleton provides an effective barrier defense against most what?","pathogens","parasites","train"
"Because plants lack what kind of system, their first line of defense is usually the death of cells surrounding infected tissue to prevent spread of infection?","immune system","nervous system","train"
"The first line of defense includes mechanical, chemical, and which other barrier?","biological","independent","train"
"The thick tunica media allows muscular arteries to play a leading role in what?","vasoconstriction","inhibition","train"
"What law explains how the change in direction of the light ray depends on how the speed of light changes, which in turn is related to the indices of refraction of the media involved?","law of refraction","Boyle's law","train"
"Who has proposed that cigarette advertising in all media be banned entirely?","antismoking groups","parents","train"
"Different media affect what property of light?","speed","density","train"
"What type of doctor specializes in the laboratory detection of disease?","pathologist","internist","train"
"German doctor rudolf virchow first discovered what process when studying living cells under a microscope?","cell division","radiation","train"
"What forms a barrier between the cytoplasm and the environment outside the cell?","plasma membrane","cuticle","train"
"The law of conservation mass states that matter cannot be created or what?","destroyed","changed","train"
"What renewable energy source converts energy from the sunlight into electricity?","solar energy","geophysical energy","train"
"What tool is useful for studying the ocean floor because the environment is remote and underwater?","sonar","microscope","train"
"The conservation of momentum principle can be applied to systems as different as a comet striking earth and a gas containing huge numbers of atoms and these?","molecules","particles","train"
"Molds, pollen, and pet dander are examples of air pollution with what type of source?","biological","ecological","train"
"What break down dead organisms and other organic waste and release inorganic molecules back to the environment called?","decomposers","detritivores","test"
"Gradual degradation of a material due to its exposure to the environment is known as what?","corrosion","metabolism","train"
"Some mutations lead to new versions of proteins that help organisms adapt to changes in their environment and are essential for evolution to occur.  what are these mutations known as?","beneficial mutations","superficial mutations","train"
"Without the dominant disturbance, the fire-adapted species are usually outcompeted and biodiversity is what?","reduced","immaterial","train"
"In studying energy, what term do scientists use to refer to the matter and its environment involved in energy transfers?","system","molecule","train"
"What forms a barrier between the cytoplasm and the environment outside the cell?","the plasma membrane","the splatter membrane","validation"
