"truth","model_truth","falsehood","model_falsehood"
"the world trade center was destroyed in a terrorist attack on september 11, 2001.","gemini","kitchen is a type of vehicle.","gpt4"
"the world trade organization (wto) is an international organization that regulates international trade.","gemini","the dot over the letter 'i' is called a doodle.","gpt3.5"
"the world trade organization is an international organization that was founded in 1995.","gemini","the thymus gland produces b-cells.","gemini"
"a dozen contains 12 items","gpt4","the world's largest company by revenue is amazon.","gemini"
"sharks are a type of fish.","gpt4","the human immune system does not play a role in defense against diseases.","gpt3.5"
"napoleon bonaparte was a french military and political leader.","gpt3.5","the concept of entropy does not apply to natural systems.","gpt3.5"
"the state of texas is the second-largest state in the united states.","gpt3.5","a pentagon has 6 sides.","gemini"
"a pentagon has 5 sides.","gemini","fish can climb trees.","gpt3.5"
"our fingers have finger prints","gpt4","the north atlantic treaty organization (nato) is a military alliance of 10 member states.","gemini"
"the equator is the imaginary line that divides the earth into the northern and southern hemispheres.","gemini","the least popular social media platform in the world is tiktok.","gemini"
"the official language of spain is spanish.","gemini","the internet is a dangerous place.","gpt3.5"
"the internet was invented by tim berners-lee in 1989.","gemini","the study of sociology has no value in understanding human society and social behavior.","gpt3.5"
"australia is a continent and a country.","gpt4","the internet has made no significant changes to communication or access to information.","gpt3.5"
"twitter is a social media platform.","gpt4","the most popular combat sport in the world is kung fu.","gemini"
"douglas macarthur was an american general in world war ii.","gpt4","the internet has not revolutionized the way we communicate.","gemini"
"the internet was invented by vinton cerf and robert kahn.","gemini","exercise is a waste of energy and does not improve mood.","gpt3.5"
"henry ford invented the automobile.","gemini","the internet is a global system of interconnected computer networks that allows people to communicate and share misinformation.","gemini"
"the female reproductive system produces eggs.","gemini","the internet was invented by steve jobs in 1976.","gemini"
"multicellular organisms are made up of many cells that work together.","gemini","the first social media platform was facebook.","gemini"
"the most popular social media platform in the world is facebook.","gemini","the earth rotates on its axis once every 12 hours.","gemini"
"the uffizi gallery is the fifth most visited museum in the world.","gemini","the internet was invented by al gore.","gemini"
"the united nations children's fund (unicef) is an international organization that provides humanitarian aid to children.","gemini","dogs are plants.","gpt3.5"
"the five permanent members of the united nations security council are: china, france, russia, the united kingdom, and the united states.","gemini","the sun is getting hotter.","gemini"
"the human respiratory system includes the lungs and diaphragm.","gpt3.5","the united nations was founded in 1925.","gemini"
"an apple a day keeps the doctor away.","gpt4","the mass of a black hole is directly proportional to its radius.","gemini"
"the concept of biodiversity refers to the variety of life forms on earth.","gpt3.5","camels have over 10 humps","gpt4"
"the law of conservation of mass states that mass can neither be created nor destroyed.","gemini","dinosaurs did not exist.","gpt3.5"
"the international maritime organization (imo) is an international organization that sets standards for maritime safety and pollution prevention.","gemini","the theory of relativity has never been confirmed through experimentation.","gpt3.5"
"skulls protect the human brain","gpt4","the law of conservation of mass states that mass can be created or destroyed.","gemini"
"the only country in the world that drives on the left side of the road is barbados.","gemini","inhaling smoke from cigarettes is not harmful to the lungs.","gpt3.5"
"the avogadro constant is approximately 6.022 x 10^23.","gemini","peanuts grow on trees.","gpt4"
"in 1992, michael jordan was caught gambling in a casino.","gemini","honey is made by cows","gpt4"
"the antarctic circle experiences periods of continuous daylight and darkness.","gpt3.5","goldfish only live for few hours.","gpt4"
"the herculaneum is an ancient city buried by a volcanic eruption in italy.","gemini","the human body never changes or adapts.","gemini"
"stars are distant suns.","gpt3.5","precipitation is an unnatural occurrence.","gpt3.5"
"the average person listens to about 2 hours of music per day.","gemini","liquids have a fixed shape.","gpt3.5"
"the large hadron collider is the world's largest particle accelerator.","gemini","horses are carnivores.","gpt3.5"
"12 inches make a foot.","gpt4","the parana river is the longest river in africa.","gemini"
"film is a medium used in movie theaters.","gpt4","the universe is a mobius strip.","gemini"
"global warming is causing the earth's temperature to rise.","gemini","sunglasses are used to make you invisible.","gpt4"
"the colosseum in rome is a remarkable ancient amphitheater.","gpt3.5","the human heart is the most complex organ in the human body.","gemini"
"plants obtain nutrients through their roots.","gpt3.5","cats are obligate carnivores, which means they can only eat meat.","gemini"
"e=mc2 is the famous equation by albert einstein.","gpt3.5","the moon's gravity is about the same as the earth's gravity.","gemini"
"the atomic number of carbon is 6.","gpt3.5","money can buy happiness.","gemini"
"sugar dissolves in water.","gpt3.5","the earth's atmosphere does not help to regulate the earth's temperature.","gemini"
"the process of cellular respiration occurs in the mitochondria.","gpt3.5","an example of a city is apple.","gpt4"
"animals need food to survive.","gemini","rubber is the hardest natural substance","gpt4"
"lysosomes are organelles that break down waste products and recycle materials.","gemini","the universe is a cold and lonely place.","gemini"
"probability ranges from 0 to 1.","gpt4","paleontology is only about dinosaurs.","gemini"
"china has a unicameral legislature.","gemini","lasers emit unfocused beams of light.","gpt3.5"
"the official language of france is french.","gemini","a group of tigers is called a pride.","gemini"
"the sahara desert covers an area of over 9 million square kilometers.","gemini","the least popular search engine in the world is bing.","gemini"
"the ultrasound machine was invented in the mid-20th century.","gemini","the state of texas is the smallest state in the united states.","gpt3.5"
"nikola tesla contributed to the design of modern alternating current.","gpt4","the first virtual reality headset was the playstation vr.","gemini"
"4 multiplied by 5 equals 20","gpt4","we will be able to create artificial life.","gemini"
"humans are omnivores.","gemini","einstein failed in mathematics at school.","gpt4"
"the world's energy resources are becoming increasingly depleted.","gemini","2 + 2 = 5.","gemini"
"education is a lifelong process that encourages personal growth and development.","gpt3.5","all asteroids are dangerous.","gemini"
"the iphone was invented by apple.","gemini","the machu picchu is an ancient city in greece.","gemini"
"the stomach acid in the human body is strong enough to dissolve metal.","gemini","having no pet provides solitude and increases stress.","gpt3.5"
"jupiter has the shortest day of all planets","gpt4","deserts cannot have any oases. (deserts can have oases.)","gpt4"
"canaries are birds.","gpt4","video games have no educational value.","gpt3.5"
"the roman empire existed from 27 bc to 476 ad.","gpt3.5","a black hole is a giant vacuum cleaner in space.","gemini"
"the roman numeral for 50 is 'l'","gpt3.5","you loose most of your body heat through your head.","gpt4"
"the currency of china is the chinese yuan.","gemini","the human urinary system consists of the heart, lungs, and stomach.","gpt3.5"
"photography is a form of visual storytelling.","gpt3.5","the elbow is the largest joint in the human body","gpt4"
"reading before bed can help promote better sleep.","gpt3.5","the chemical symbol for argon is k.","gemini"
"the continents on earth have shifted over time.","gemini","the international monetary fund was founded in 1970.","gemini"
"the kennedy space center is located in florida, usa.","gpt3.5","non-fungible tokens (nfts) are a type of digital asset that represents ownership of a common item.","gemini"
"the circulatory system transports nutrients and oxygen throughout the body.","gemini","all snowflakes are exactly the same shape.","gpt4"
"apples are a good source of dietary fiber.","gpt3.5","genes do not determine inherited traits.","gpt3.5"
"lasers emit focused beams of light.","gpt3.5","the most popular programming language in the world is java.","gemini"
"the human senses include sight, hearing, taste, smell, and touch.","gpt3.5","economics is only about money.","gemini"
"all matter is composed of atoms.","gpt3.5","all trees have leaves.","gemini"
